source,source_text_id,source_sentence_id,language_stage,script_type,genre,period,hieroglyphs,mdc,sign_sequence,transliteration_gold,translation,lemma_sequence,upos,glossing,grammar_notes,source_ref,review_status,formula_type,deity,recipient,offering_items,formula_slot,display_sequence,normalized_reading_order,alt_transliterations,variant_writing_note,morphology_note,syntax_note,aesthetic_arrangement_flag
TLA,TLA_EARLIER_001,S001,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓐩𓏌𓀜 𓂧 𓂋 𓋴,ndj wdi r s,nḏ (w)di̯ r =s,nḏ (w)di̯ r =s,"(es) werde zerrieben, (es) werde darauf gelegt.",90880|nḏ 51510|wdi̯ 91901|r 10090|=s,VERB VERB ADP PRON,V\tam.pass V\tam.pass PREP:stpr -3sg.f,,data/raw/tla_earlier/tla_earlier.parquet#row=1,seed,,,,,,𓐩𓏌𓀜 𓂧 𓂋 𓋴,ndj wdi r s,,,,,False
TLA,TLA_EARLIER_002,S002,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓂜 𓍿𓅱 𓇋𓅓 𓋴𓈖,n tjw m sn,n ṯw ꞽm =sn,n ṯw ꞽm =sn,Du gehörst nicht zu ihnen.,78890|n 174900|ṯw 400007|m 10100|=sn,PART PRON ADP PRON,PTCL =2sg.m PREP:stpr -3pl,,data/raw/tla_earlier/tla_earlier.parquet#row=2,seed,,,,,,𓂜 𓍿𓅱 𓇋𓅓 𓋴𓈖,n tjw m sn,,,,,False
TLA,TLA_EARLIER_003,S003,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,<g>M12B</g> 𓅓 𓏐𓏒 𓏊 𓃾𓏒 𓅿 𓈖 𓄪 𓄓𓈙𓈖𓂝𓎩𓏨 𓇋𓏠𓈖𓅓𓄂𓏏 𓐙𓊤︂,kha m t hnqt kapl apdpl n makh m-r-shnapl mn-m-hat maa-khrw,ḫꜣ m tʾ ḥnq.t kꜣ(.PL) ꜣpd(.PL) n ꞽmꜣḫ ꞽm.ꞽ-rʾ-šnꜥ.PL ꞽmn-m-ḥꜣ.t mꜣꜥ-ḫrw,ḫꜣ m tʾ ḥnq.t kꜣ(.PL) ꜣpd(.PL) n ꞽmꜣḫ ꞽm.ꞽ-rʾ-šnꜥ.PL ꞽmn-m-ḥꜣ.t mꜣꜥ-ḫrw,"Tausend an Brot, Bier, Rindern und Geflügel für den Versorgten, den Vorsteher des $šnꜥ$, Amenemhet, den Gerechtfertigten.",113110|ḫꜣ 400082|m 168810|tʾ 110300|ḥnq.t 162930|kꜣ 107|ꜣpd 400055|n 25090|ꞽmꜣḫ.w 72420|ꞽm.ꞽ-rʾ-šnꜥ 400161|Ꞽmn-m-ḥꜣ.t 66750|mꜣꜥ-ḫrw,NOUN ADP NOUN NOUN NOUN NOUN ADP NOUN NOUN PROPN NOUN,N.m PREP N.m N.f N.m:pl N.m:pl PREP N.m TITL ROYLN N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=3,seed,,,,,,<g>M12B</g> 𓅓 𓏐𓏒 𓏊 𓃾𓏒 𓅿 𓈖 𓄪 𓄓𓈙𓈖𓂝𓎩𓏨 𓇋𓏠𓈖𓅓𓄂𓏏 𓐙𓊤︂,kha m t hnqt kapl apdpl n makh m-r-shnapl mn-m-hat maa-khrw,,,,,False
TLA,TLA_EARLIER_004,S004,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓊢𓂝,aha,ꜥḥꜥ,ꜥḥꜥ,Steh auf!,40110|ꜥḥꜥ,VERB,V\imp.sg,,data/raw/tla_earlier/tla_earlier.parquet#row=4,seed,,,,,,𓊢𓂝,aha,,,,,False
TLA,TLA_EARLIER_005,S005,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓊨𓁹 𓍹𓃹𓈖𓇋𓋴𓍺 𓌇 𓈖 𓎡 𓁹𓏏𓏤𓅃 𓇋𓂝𓎺 𓈖 𓎡 𓋴 𓇋𓂋 𓂋 𓎡,wsr wns m n k rt-hrw ab n k s r r k,(w)sꞽr wnꞽs m n =k ꞽr.t-ḥr.w ꞽꜥb n =k s(ꞽ) ꞽr rʾ =k,(w)sꞽr wnꞽs m n =k ꞽr.t-ḥr.w ꞽꜥb n =k s(ꞽ) ꞽr rʾ =k,"Osiris Unas, nimm dir das Horusauge und stecke es dir in deinen Mund.",49461|Wsꞽr 800001|Wnꞽs 67780|mꞽ 400055|n 10110|=k 28410|ꞽr.t-Ḥr.w 21680|ꞽꜥb 400055|n 10110|=k 127770|sꞽ 91901|r 92560|rʾ 10110|=k,NOUN PROPN VERB ADP PRON NOUN VERB ADP PRON PRON ADP NOUN PRON,TITL ROYLN V\imp.sg PREP:stpr -2sg.m N.f V\imp.sg PREP:stpr -2sg.m =3sg.f PREP N.m:stpr -2sg.m,,data/raw/tla_earlier/tla_earlier.parquet#row=5,seed,,,,,,𓊨𓁹 𓍹𓃹𓈖𓇋𓋴𓍺 𓌇 𓈖 𓎡 𓁹𓏏𓏤𓅃 𓇋𓂝𓎺 𓈖 𓎡 𓋴 𓇋𓂋 𓂋 𓎡,wsr wns m n k rt-hrw ab n k s r r k,,,,,False
TLA,TLA_EARLIER_006,S006,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓇋𓍯 𓂋𓈖,wa rn,ꞽwꜣ rn,ꞽwꜣ rn,"Langhornrind, ein Jungtier.",22160|ꞽwꜣ 94720|rn,NOUN NOUN,N.m N.m,,data/raw/tla_earlier/tla_earlier.parquet#row=6,seed,,,,,,𓇋𓍯 𓂋𓈖,wa rn,,,,,False
TLA,TLA_EARLIER_007,S007,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓈎𓂋𓋴𓌠𓏏𓊭 𓅓 𓊃𓏏𓈉 𓊿𓏏𓏏 𓀘 𓄤 𓅨𓂋𓏏 𓇓𓏏𓂋𓐍𓏏 𓅱𓂸𓏏𓏏𓂓𓀻,qrst m zmyt mntt awit nfr wrt rt-kht-nswt wmtt-ka,qrs.t(ꞽ) m z(my).t ꞽmn.t(ꞽ).t ꞽꜣwi̯(.tꞽ) nfr wr.t (ꞽ)r(.ꞽt-ꞽ)ḫ(.t)-nswt wmt.t-kꜣ,qrs.t(ꞽ) m z(my).t ꞽmn.t(ꞽ).t ꞽꜣwi̯(.tꞽ) nfr wr.t (ꞽ)r(.ꞽt-ꞽ)ḫ(.t)-nswt wmt.t-kꜣ,"Sie möge bestattet sein in der westlichen Begräbniosstätte, indem sie sehr schön alt ist, die Verwalterin des Königsvermögens Wemetet-ka.",161940|qrs 400007|m 134780|zmy.t 26150|ꞽmn.tꞽ 20480|ꞽꜣwi̯ 400458|nfr 450161|wr.t 95750|ꞽr.ꞽt-ꞽḫ.t-nswt 711504|Wmt.t-kꜣ,VERB ADP NOUN ADJ VERB ADV ADV NOUN PROPN,V\res-3sg.f PREP N.m N-adjz:f.sg V\res-3sg.f ADV ADV TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=7,seed,,,,,,𓈎𓂋𓋴𓌠𓏏𓊭 𓅓 𓊃𓏏𓈉 𓊿𓏏𓏏 𓀘 𓄤 𓅨𓂋𓏏 𓇓𓏏𓂋𓐍𓏏 𓅱𓂸𓏏𓏏𓂓𓀻,qrst m zmyt mntt awit nfr wrt rt-kht-nswt wmtt-ka,,,,,False
TLA,TLA_EARLIER_008,S008,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓅓𓂋𓇓𓏏𓏞𓂝𓏝 𓋴𓌮𓄤,m-r-zkhaww-a-n-nswt sshm-nfr,(ꞽ)m(.ꞽ)-rʾ-zẖꜣ.w(w)-ꜥ-(n-)nswt sšm-nfr,(ꞽ)m(.ꞽ)-rʾ-zẖꜣ.w(w)-ꜥ-(n-)nswt sšm-nfr,Der Vorsteher der Aktenschreiber des Königs Seschem-nefer.,450419|ꞽm.ꞽ-rʾ-zẖꜣ.ww-ꜥ-n-nswt 707086|Sšm-nfr,NOUN PROPN,TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=8,seed,,,,,,𓅓𓂋𓇓𓏏𓏞𓂝𓏝 𓋴𓌮𓄤,m-r-zkhaww-a-n-nswt sshm-nfr,,,,,False
TLA,TLA_EARLIER_009,S009,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓂖 𓅓𓂋𓅱𓇋𓂧𓅱,hm-ka mrw-dw,ḥm-kꜣ mr.w-ꞽdw,ḥm-kꜣ mr.w-ꞽdw,Der Totenpriester Meru-idu.,104990|ḥm-kꜣ 702353|Mrw+ꞽdw,NOUN PROPN,TITL PERSN,,data/raw/tla_earlier/tla_earlier.parquet#row=9,seed,,,,,,𓂖 𓅓𓂋𓅱𓇋𓂧𓅱,hm-ka mrw-dw,,,,,False
TLA,TLA_EARLIER_010,S010,Earlier Egyptian,hieroglyphic/hieratic,unknown,Earlier Egyptian,𓇋𓐍𓏛 𓉔𓈖𓉔𓈖 𓋴 𓁷 𓂢𓂢 𓀀,kh hnhn s hr rmndu,ꞽḫ hnhn =s ḥr rmn.DU =ꞽ,ꞽḫ hnhn =s ḥr rmn.DU =ꞽ,"Ach, sie möge ausgelassen sein (? o.ä.) auf meinen Ober(?)armen!",30730|ꞽḫ 98860|hnhn 10090|=s 400090|ḥr 94240|rmn 10030|=ꞽ,PART VERB PRON ADP NOUN PRON,PTCL V\tam.act:stpr -3sg.f PREP N.m:du:stpr -1sg,,data/raw/tla_earlier/tla_earlier.parquet#row=10,seed,,,,,,𓇋𓐍𓏛 𓉔𓈖𓉔𓈖 𓋴 𓁷 𓂢𓂢 𓀀,kh hnhn s hr rmndu,,,,,False
